575	38	93	9	55	77	181	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	4	10	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	3	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	1	0	1	0	10	13	0	0	1	0	0	6	15	0	10	0	0	1	0	0
38	535	33	92	10	16	20	15	5	25	0	0	0	3	0	2	0	5	0	11	0	6	6	0	0	9	4	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	1	0	3	2	5	1	6	1	7	1	3	16	0	0	21	0	0	0	18	6	0	0	24	24	0	0	0	13	0	0	7	0	2	0	0	0	13	0	0	13	1
93	33	549	24	98	70	70	0	0	0	6	8	5	0	0	0	4	0	0	0	0	0	0	7	0	0	0	4	1	0	0	0	18	0	8	0	0	1	10	0	0	3	0	0	1	1	1	0	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	14	8	0	0	0	0	10	0	0	8	0	0	0	0	1	0	0	3	1	5	0	0	0	5	0	0
9	92	24	510	19	15	20	7	8	6	0	0	0	24	0	0	0	7	0	0	6	0	5	0	0	7	8	0	0	0	6	2	0	9	0	9	3	0	1	0	0	0	2	26	0	0	0	1	0	4	0	3	9	0	0	0	0	8	0	2	0	8	0	16	0	0	17	0	0	0	0	0	10	0	1	16	0	0	0	17	21	0	0	0	0	0	0	0	9	0	0	0	0
55	10	98	19	541	101	86	0	0	0	13	8	22	0	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	8	0	0	1	0	0	0	0	3	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	9	3	1	0	0	0	0	0	0	4	1	3	0	0	3	0	0	5	5	0	0	0	1	0	0	0
77	16	70	15	101	579	112	0	0	0	5	8	1	0	5	0	4	0	0	0	0	0	0	0	2	0	0	5	1	2	0	0	7	0	3	0	0	4	4	4	5	0	0	0	0	3	6	2	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	4	5	0	3	1	0	0	0	0	0	0	0	5	4	9	0	0	6	0	0	3	8	0	0	0	0	10	0	0
181	20	70	20	86	112	549	0	0	0	4	6	3	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	7	3	0	0	4	0	4	0	0	8	0	0	0	0	0	0	2	7	5	1	6	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	14	0	4	1	8	0	0	0	11	0	0	3	11	10	0	0	0	0	0	0	8	12	0	0	0	5	0	0
0	15	0	7	0	0	0	481	161	91	12	14	21	152	0	4	0	1	0	1	2	15	0	0	0	1	0	0	0	0	8	5	0	0	0	10	0	0	0	0	0	0	13	4	0	0	0	0	0	10	0	7	0	0	1	0	0	0	0	6	8	5	0	7	0	0	9	0	0	0	0	8	15	0	7	1	0	0	0	1	6	0	14	0	0	0	0	0	0	0	0	0	0
0	5	0	8	0	0	0	161	451	94	10	24	27	82	0	1	0	13	0	18	4	1	0	0	0	0	12	0	0	0	2	11	0	13	0	13	1	0	0	0	0	0	14	6	0	0	0	0	0	9	0	0	0	0	0	0	4	5	2	0	3	1	6	5	0	0	7	1	0	0	0	3	8	0	7	6	0	0	0	5	7	0	4	0	0	0	0	0	25	0	0	7	0
0	25	0	6	0	0	0	91	94	476	21	15	16	67	0	4	0	0	0	2	11	0	3	0	0	0	3	0	0	0	12	12	0	8	0	9	6	0	0	0	0	0	4	7	0	1	0	0	0	0	0	0	3	0	6	5	0	0	0	4	0	4	2	5	0	0	2	0	0	0	12	0	4	0	26	18	0	0	0	19	0	0	4	0	0	0	0	0	1	0	0	14	0
2	0	6	0	13	5	4	12	10	21	535	191	101	19	5	0	1	0	1	0	0	0	0	7	17	0	0	8	1	2	0	0	7	0	10	0	0	0	0	6	3	9	0	0	0	1	0	0	2	0	2	0	0	5	0	0	0	0	0	0	3	0	0	0	4	3	0	5	15	15	0	0	0	31	0	0	0	12	4	0	0	2	0	0	11	13	4	7	0	2	14	0	9
0	0	8	0	8	8	6	14	24	15	191	516	96	17	13	0	20	0	7	0	0	0	0	0	0	0	0	5	6	3	0	0	28	0	34	0	0	6	16	0	25	11	0	0	3	0	5	0	0	0	18	0	0	9	0	0	0	0	0	0	0	1	0	0	0	7	0	0	4	25	0	0	0	45	0	0	7	14	8	0	0	8	0	8	14	3	0	0	0	0	17	0	1
